unit_name,asa,background,eyes,pose,skin,hair,shirt,jacket,single outfit,necklace,mask,foam finger,hat,glasses,rarity_score,rank,name
Tour1264,741416867,alaskan aurora,green spiral,camera,poisonous toad,none,none,camo zip puffer,none,none,none,none,none,none,611.9609497066922,626,Alien Tourism1264
Tour2579,741656591,red,none,wave,hornet,afro,coral snake shirt,black puffer vest,none,none,none,none,none,orange lens sunglasses,611.7079968090804,627,Alien Tourism2579
Tour2975,741725303,red,gold,coffee,tree frog,none,none,none,aqua robe,none,none,none,black at hat,none,611.5700530597597,628,Alien Tourism2975
Tour2602,741669883,yellow,blue cat,rock on,quicksilver,pullback,blue hex shirt,none,none,none,none,none,none,none,611.1706039132689,629,Alien Tourism2602
Tour2387,741629068,lime,gold spiral,ice cream,blue aqueous,pigtail,blue hex high top,rainbow zip puffer,none,none,none,none,none,none,610.6726692828757,630,Alien Tourism2387
Tour1791,741469163,coconut,red,wave,blue aqueous,none,blue sleeved halftop,red,none,at snake chain,none,none,none,none,610.3252072545591,631,Alien Tourism1791
Tour126,741106708,candy red,none,ice cream,pink metallic,bun,none,yellow,none,none,none,none,none,orange lens sunglasses,610.0273991039669,632,Alien Tourism126
Tour1080,741344271,purple,black,cash money,blue green gloss,mop,none,none,tree hawaiian,none,none,none,none,none,609.6808414113198,633,Alien Tourism1080
Tour3221,741764431,charcoal,none,wave,blue purple pearlescent,bob,pink camo polo,camo,none,none,none,none,none,pink sunglasses,608.9915144892046,634,Alien Tourism3221
Tour1806,741472400,purple nebulae,none,wave,green base,receding,none,none,hitman suit,none,none,none,none,pink sunglasses,608.7096356465166,635,Alien Tourism1806
Tour213,741175298,purple spiral,silver blue spiral,wave,yellow red pearlescent,curly,yellow high top,none,none,none,none,none,none,none,608.661148566464,636,Alien Tourism213
Tour1390,741428907,seagreen,orange,wave,black blue pearlescent,space bun,yellow high top,copper puffer vest,none,none,none,none,none,none,608.4858164182577,637,Alien Tourism1390
Tour818,741296797,royal blue,none,wave,blue green pearl,none,none,none,yellow robe,none,none,none,red hard hat,blue red pit glasses,608.462522850235,638,Alien Tourism818
Tour3211,741763171,charcoal,light blue,wave,quiksilver,none,none,none,red pearl hoodie,none,none,none,none,none,608.3176043590596,639,Alien Tourism3211
Tour3595,741815300,green,fuschia spiral,rock on,quicksilver,pullback,none,none,tree hawaiian,algo medallion chain,none,none,none,none,608.275999675874,640,Alien Tourism3595
Tour3730,741834893,royal blue,none,wave,yellow aqueous,none,camo blue high top,none,none,large gold chain,none,red at,purple beanie,white sunglasses,608.0601052242012,641,Alien Tourism3730
Tour400,741213810,blood orange,none,wave,purple gloss,none,black leather suit,none,none,at medallion chain,none,blue probe,none,pink lens sunglasses,607.9603600284327,642,Alien Tourism400
Tour2025,741577365,dark gray,green cat,wave,berries and cream,bob,metallic high top,none,none,none,none,none,none,none,607.777229063039,643,Alien Tourism2025
Tour1182,741408156,dark gray,none,wave,orange glow,none,yellow high top,graffiti,none,none,none,none,none,red black cyclops,607.2765863808486,644,Alien Tourism1182
Tour3264,741772331,candy red,yellow,wave,dark acid,none,none,none,yellow bball,none,none,none,black at hat,none,606.9793239947381,645,Alien Tourism3264
Tour134,741108093,candy red,pink,cash money,purple blue gloss,pigtail,black leather suit,none,none,none,none,none,none,none,606.9632069492849,646,Alien Tourism134
Tour1319,741422832,emerald,none,wave,green base,receding,none,none,green soccer,none,none,none,none,white sunglasses,606.7763400082874,647,Alien Tourism1319
Tour1674,741457712,purple,blue spiral,wave,blue metallic,space bun,yellow high top,black leather,none,none,none,blue at,none,none,606.7074342202643,648,Alien Tourism1674
Tour2761,741692469,royal blue,green,rock on,arctic plum,afro,none,none,flower hawaiian,none,none,none,none,none,606.268617326975,649,Alien Tourism2761
Tour2514,741648009,lavendar,orange glow,ice cream,blue metallic,combover,none,camo bomber,none,none,none,none,none,none,605.1673399138716,650,Alien Tourism2514
Tour1827,741474812,aqua nebulae,pink,wave,orange glow,boomer,green high top,camo zip puffer,none,none,none,none,none,none,605.1282401227116,651,Alien Tourism1827
Tour229,741179576,purple,blue spiral,donut,rainbow blue base,none,blue camo dress,none,none,none,none,none,red hard hat,none,604.9498931871808,652,Alien Tourism229
Tour2067,741581691,lollipop,lime spiral,ice cream,blue metallic,combover,none,none,red jogger,none,none,none,none,none,604.3473820479202,653,Alien Tourism2067
Tour501,741232849,acid blur,none,cash money,pink metallic,mohawk,green metallic dress,none,none,none,none,none,none,blue red pit glasses,603.6657398233102,654,Alien Tourism501
Tour2898,741713898,yellow,none,donut,gold,cruella,yellow high top,black leather,none,none,none,none,none,black sunglasses,603.584132725919,655,Alien Tourism2898
Tour2811,741699294,green spiral,none,stun gun,original base,mohawk,none,black puffer vest,none,none,none,none,none,blue visor,603.2825964628811,656,Alien Tourism2811
Tour2597,741659047,dark gray,none,camera,green yellow pearlescent,slickback,none,none,camo snow,none,none,none,none,white sunglasses,603.1742384382842,657,Alien Tourism2597
Tour3755,741837728,green spiral,yellow,stun gun,camo,pullback,none,black leather,none,none,none,none,none,none,603.0433106288364,658,Alien Tourism3755
Tour3366,741786313,candy red,gold spiral,wave,green aqueous,none,none,blue puffer vest,none,none,green bandana,red probe,none,none,602.9613566662732,659,Alien Tourism3366
Tour1459,741435378,green,red silver spiral,donut,metallic blue,mop,none,graffiti,none,none,none,none,none,none,602.9191755496548,660,Alien Tourism1459
Tour162,741161385,orange,green,wave,purple base,none,blue pearl suit,purple  bomber,none,none,none,none,red horns,none,602.9189036128232,661,Alien Tourism162
Tour2797,741697241,purple spiral,white,wave,purple base,none,none,red zip puffer,none,none,none,none,red horns,none,602.5053135939572,662,Alien Tourism2797
Tour762,741287654,candy red,purple glow,wave,acid,none,purple camo strapless,blue zip puffer,none,none,none,none,yellow hard hat,none,602.0400293901383,663,Alien Tourism762
Tour2225,741605931,dark gray,yellow iris,wave,purple galaxy,none,camo blue high top,none,none,at medallion chain,none,none,red bandana,none,602.0396125848298,664,Alien Tourism2225
Tour3775,741839893,tidepool,orange,wave,green base,receding,blue camo dress,pink safety vest,none,none,none,none,none,none,601.944613247442,665,Alien Tourism3775
Tour1449,741434477,royal blue,lime spiral,wave,black galaxy,einstein,none,none,aqua robe,none,none,none,none,none,601.8552115839025,666,Alien Tourism1449
Tour3792,741841597,dark gray,yellow,wave,psychedelic,none,none,none,pink snow,none,none,none,purple camo sun hat,none,601.8505343564779,667,Alien Tourism3792
Tour1349,741425331,green,red silver spiral,ice cream,green base,dreadlock biebs,yellow high top,none,none,none,none,none,none,pink monocle,601.6806777326661,668,Alien Tourism1349
Tour3357,741784642,light gray,green,camera,blue red pearlescent,corn rows,yellow high top,none,none,none,none,none,none,none,601.6419318998254,669,Alien Tourism3357
Tour2052,741580052,blue blend,purple cat,wave,blue gloss,none,seafoam shirt,none,none,none,none,none,liquid mint sun hat,none,601.1399606139023,670,Alien Tourism2052
Tour2604,741670185,orange,silver spiral,camera,wild berry,none,orange polo,graffiti,none,none,none,none,blue camo band,none,601.1275347562973,671,Alien Tourism2604
Tour2474,741642852,galaxy,yellow,wave,green metallic,none,red strapless,gold zip puffer,none,none,none,none,aqua bandana,none,600.7923309427846,672,Alien Tourism2474
Tour967,741321840,lime,light blue,burger,purple blue pearlescent,king,camo shirt,none,none,at medallion chain,none,none,none,none,600.4186021801926,673,Alien Tourism967
Tour954,741319322,candy red,yellow,donut,rainbow blue base,none,none,none,yellow robe,none,none,none,none,none,600.3329671788173,674,Alien Tourism954
Tour2882,741711460,red,red glow,rock on,arctic plum,afro,purple camo strapless,none,none,none,none,none,none,none,600.0469577356452,675,Alien Tourism2882
Tour454,741224280,blood orange,silver green spiral,wave,blue gloss,none,black longsleeve top,blue puffer vest,none,algo medallion chain,white bandana,blue probe,none,none,599.6768018670717,676,Alien Tourism454
Tour2836,741703456,purple nebulae,yellow glow,wave,gold,none,black leather suit,camo bomber,none,algo medallion chain,none,none,camo safari hat,none,599.443373254644,677,Alien Tourism2836
Tour798,741293600,candy red,pink,ice cream,pink metallic,bun,none,none,blue hawaiian,none,none,none,none,none,599.366167217858,678,Alien Tourism798
Tour3733,741835256,candy red,silver spiral,wave,purple green pearl,none,none,orange safety vest,none,none,none,none,viking helmet,pink monocle,599.3311091033837,679,Alien Tourism3733
Tour350,741205055,blood orange,silver green spiral,ice cream,green base,dreadlock biebs,black longsleeve top,camo bomber,none,none,none,none,none,none,599.186034005084,680,Alien Tourism350
Tour689,741273701,acid blur,none,ice cream,confetti skin,none,none,none,red jogger,none,none,none,blue tando,black sunglasses,598.3121259229586,681,Alien Tourism689
Tour3168,741756567,blood orange,light blue spiral,wave,green aqueous,none,none,none,shield maiden,none,none,none,none,none,597.7460975841041,682,Alien Tourism3168
Tour635,741262990,lollipop,none,wave,coral snake,mullet,fuschia longsleeve top,none,none,none,none,none,none,rainbow pit glasses,597.4846646786644,683,Alien Tourism635
Tour3678,741828963,charcoal,green,wave,acid,none,none,none,black jogger,none,none,none,red pearl tando,pink monocle,597.4554539667092,684,Alien Tourism3678
Tour3133,741750230,lime,none,wave,blue gloss,none,black leather suit,none,none,algo snake chain,none,blue probe,camo safari hat,orange lens sunglasses,597.1525856266652,685,Alien Tourism3133
Tour1187,741409174,blue spiral,black,wave,confetti,none,medieval shirt,none,none,none,none,none,none,none,596.8674317767536,686,Alien Tourism1187
Tour1318,741422744,light gray,orange iris,wave,blue gloss,none,none,blue bomber,none,none,none,purple at,acid back hat,blue monocle,596.5296386200631,687,Alien Tourism1318
Tour2642,741675409,light gray,none,wave,rainbow yellow,none,fuschia longsleeve top,black puffer vest,none,none,none,red probe,none,black sunglasses,596.4913023850338,688,Alien Tourism2642
Tour2859,741707991,green,none,wave,purple aqueous,none,seafoam shirt,none,none,none,none,none,none,red gold cyclops,596.4263599062737,689,Alien Tourism2859
Tour1394,741429248,purple spiral,none,wave,green gloss,none,purple gloss shirt,none,none,none,none,none,black at hat,purple cyclopsoo,595.1311023504585,690,Alien Tourism1394
Tour3345,741782956,dark gray,lime spiral,stun gun,camo,pullback,red strapless,blue bomber,none,none,none,none,none,none,595.1139108889961,691,Alien Tourism3345
Tour509,741234399,dark gray,none,wave,blue red pearl,none,black neon singlet,none,none,at medallion chain,none,red tourist,purple beanie,green lens sunglasses,595.0139238216095,692,Alien Tourism509
Tour1463,741435708,galaxy,purple glow,wave,red yellow pearl,none,none,none,flower hawaiian,none,none,none,liquid mint sun hat,none,594.5071467327722,693,Alien Tourism1463
Tour1015,741332180,yellow,yellow glow,ice cream,blue metallic,combover,none,midnight blue,none,none,none,none,none,none,594.4786319820558,694,Alien Tourism1015
Tour3772,741839549,turquoise,blue glow,wave,green gloss,none,coral snake shirt,nebula,none,at medallion chain,none,none,blue beanie,none,594.380521625006,695,Alien Tourism3772
Tour2261,741609861,light gray,blue spiral,burger,purple blue pearlescent,king,none,pink safety vest,none,none,none,none,none,none,594.157860906096,696,Alien Tourism2261
Tour2555,741653430,blue blend,pink,wave,purple aqueous,none,medieval shirt,none,none,none,none,none,camo tando,none,594.0860871794019,697,Alien Tourism2555
Tour2171,741597679,blood orange,orange,wave,purple metallic,none,red sleeved halftop,hypno,none,none,none,none,none,none,594.0479691831127,698,Alien Tourism2171
Tour1372,741427457,purple spiral,green spiral,wave,orange gloss,none,black dress,gold zip puffer,none,none,none,none,heat map bandana,none,593.5872870803879,699,Alien Tourism1372
Tour1713,741461247,lavendar,light blue,rock on,quicksilver,pullback,none,gold puffer vest,none,none,none,none,none,none,592.9540335386899,700,Alien Tourism1713
Tour82,741098569,royal blue,none,wave,yellow red pearlescent,curly,none,graffiti,none,none,none,none,none,orange lens sunglasses,592.5201162236683,701,Alien Tourism82
Tour3697,741831425,dark gray,black,cash money,purple blue gloss,pigtail,purple strapless,none,none,none,none,none,none,none,591.7361869667582,702,Alien Tourism3697
Tour2997,741728514,emerald,yellow glow,wave,purple base,none,blue pearl suit,red leather,none,at snake chain,white bandana,none,none,none,591.6758622917208,703,Alien Tourism2997
Tour2994,741728020,candy red,red silver spiral,wave,green gloss,none,none,red bomber,none,none,none,none,camo at,none,591.5740022669017,704,Alien Tourism2994
Tour961,741320669,blue spiral,blue spiral,wave,yellow metallic,none,none,none,red bball jersey,none,none,none,none,none,591.2801889314547,705,Alien Tourism961
Tour1870,741479418,emerald,none,wave,purple green pearl,none,rainbow shirt,black puffer vest,none,at medallion chain,none,green tourist,black at hat,pink sunglasses,590.9070366149009,706,Alien Tourism1870
Tour2356,741623055,green,light blue,rock on,arctic plum,afro,purple ore shirt,none,none,none,none,none,none,none,590.7545513007905,707,Alien Tourism2356
Tour3206,741762613,lime,red silver spiral,wave,red aqueous,none,none,none,lime robe,none,none,none,liquid mint sun hat,none,590.5228478686059,708,Alien Tourism3206
Tour322,741199352,blue spiral,green cat,wave,blue aqueous,none,purple leather suit,none,none,none,white bandana,none,none,none,590.2212285110649,709,Alien Tourism322
Tour2729,741687541,peppermint,red iris,wave,rainbow yellow,none,blue pearl suit,rainbow zip puffer,none,none,none,none,none,none,590.1793461639855,710,Alien Tourism2729
Tour1851,741477530,tidepool,purple glow,wave,blue aqueous,none,medieval shirt,red,none,none,none,none,none,none,590.1606797015502,711,Alien Tourism1851
Tour1581,741448533,orange,fuschia spiral,wave,blue green pearl,none,sunrise shirt,red zip puffer,none,none,purple bandana,blue probe,none,none,590.0949140120078,712,Alien Tourism1581
Tour2144,741593647,orange,purple glow,wave,blue base,none,black leather suit,midnight blue,none,none,none,none,red horns,none,589.4321662812911,713,Alien Tourism2144
Tour1137,741353134,purple nebulae,blue glow,wave,blue purple pearlescent,bob,none,red zip puffer,none,none,none,none,none,none,589.0452695630373,714,Alien Tourism1137
Tour657,741268389,alaskan aurora,red silver spiral,ice cream,blue metallic,combover,none,none,none,none,none,none,none,none,589.0372818323523,715,Alien Tourism657
Tour2648,741676438,aurora,red silver spiral,camera,green yellow pearlescent,slickback,blue hex high top,red bomber,none,none,none,none,none,none,588.0261363292918,716,Alien Tourism2648
Tour1475,741436961,green spiral,green spiral,wave,black galaxy,einstein,none,none,none,none,none,none,none,none,586.9183962278397,717,Alien Tourism1475
Tour1504,741439928,emerald,none,donut,caribbean,bob,none,copper puffer vest,none,none,none,none,none,black sunglasses,586.8614016889765,718,Alien Tourism1504
Tour3229,741765837,royal blue,orange,coffee,fire,mullet,camo shirt,orange life vest,none,none,none,none,none,none,586.6293522698045,719,Alien Tourism3229
Tour1213,741411908,green,none,wave,blue aqueous,none,none,none,yellow robe,none,none,none,none,blue visor,586.4887314605439,720,Alien Tourism1213
Tour1327,741423516,peppermint,silver green spiral,wave,blue metallic,space bun,none,hypno,none,at medallion chain,none,none,none,none,586.354891646885,721,Alien Tourism1327
Tour1411,741430566,lavendar,red spiral,wave,orange gloss,none,none,none,flower hawaiian,large gold chain,none,none,gold tando,none,586.1657135356148,722,Alien Tourism1411
Tour2545,741652413,candy red,gold,wave,hornet,afro,rainbow leather suit,none,none,none,none,none,none,none,586.0836367153383,723,Alien Tourism2545
Tour3586,741813459,candy red,black,donut,purple blue pearlescent,none,purple gloss shirt,nebula,none,none,none,none,purple camo sun hat,blue monocle,585.9993063233873,724,Alien Tourism3586
Tour133,741107916,lime,gold cat,wave,blue base,none,none,none,red jogger,at medallion chain,none,none,camo bandana,none,585.7382799690079,725,Alien Tourism133
Tour1964,741524490,celestial,pink,wave,red aqueous,none,none,hypno,none,none,green bandana,purple at,none,none,585.4471690369471,726,Alien Tourism1964
Tour1341,741424686,lavendar,orange spiral,wave,black galaxy,einstein,none,camo,none,algo snake chain,none,none,none,none,584.9183655735636,727,Alien Tourism1341
Tour622,741260240,yellow,red glow,wave,purple galaxy,none,blue hex shirt,none,none,none,none,none,camo bandana,none,584.7048766754034,728,Alien Tourism622
Tour3159,741754798,lime,blue glow,wave,rainbow purple,none,none,none,red pearl hoodie,none,none,none,none,none,584.6817920455501,729,Alien Tourism3159
Tour3942,741864067,seagreen,red spiral,wave,berries and cream,bob,purple gloss shirt,red pearl,none,none,none,none,none,none,584.3173239360103,730,Alien Tourism3942
Tour1339,741424530,dark gray,purple cat,camera,green yellow pearlescent,slickback,blue polo,red,none,none,none,none,none,none,583.7649502472791,731,Alien Tourism1339
Tour2278,741611603,royal blue,purple cat,wave,yellow aqueous,none,ps sleeved halftop,orange safety vest,none,none,surgical mask,red tourist,none,none,583.6271633857418,732,Alien Tourism2278
Tour3712,741833041,green,green spiral,wave,turquoise metallic,none,pink camo polo,camo,none,none,none,none,black horns,none,583.624830471862,733,Alien Tourism3712
Tour3487,741800570,lime,yellow,wave,onyx,none,black neon singlet,none,none,none,none,turquoise tourist,none,none,583.1633729213423,734,Alien Tourism3487
Tour2342,741621158,royal blue,green,wave,green aqueous,none,black longsleeve top,red,none,none,none,red 1,yellow tando,green monocle,582.9938341476089,735,Alien Tourism2342
Tour729,741280892,green,black,donut,coral snake,none,none,none,politician suit,none,none,none,purple beanie,none,582.9453948790126,736,Alien Tourism729
Tour1393,741429158,peppermint,gold spiral,ice cream,confetti skin,none,red polo,none,none,none,none,none,none,none,582.7660536683175,737,Alien Tourism1393
Tour198,741171057,blood orange,lime spiral,wave,rainbow purple,none,ps sleeved halftop,yellow,none,none,none,none,gold sun hat,none,582.581146033671,738,Alien Tourism198
Tour1778,741467481,lime,pink,donut,metallic blue,mop,none,blue safety vest,none,none,none,none,none,none,581.9157241537706,739,Alien Tourism1778
Tour794,741292928,lollipop,gold spiral,wave,green yellow pearlescent,comb over fade,none,none,black soccer,none,none,none,none,none,581.0604872886494,740,Alien Tourism794
Tour3943,741864175,lime,none,wave,orange glow,none,red strapless,red bomber,none,none,none,red 1,none,gold visor,581.0077844019386,741,Alien Tourism3943
Tour2042,741579085,peppermint,silver spiral,wave,yellow gloss,none,none,purple  bomber,none,algo snake chain,white bandana,purple probe,none,none,580.9856962257978,742,Alien Tourism2042
Tour1474,741436876,aurora,blue human,wave,purple metallic,none,rainbow leather suit,graffiti,none,at medallion chain,none,none,red check band,none,580.9372187615821,743,Alien Tourism1474
Tour3103,741742134,green,none,wave,purple gloss,none,none,red zip puffer,none,algo snake chain,none,turquoise tourist,red bandana,black sunglasses,580.0028181692888,744,Alien Tourism3103
Tour2333,741620020,dark gray,none,donut,red blue pearlescent,none,none,black bomber,none,none,none,none,red bandana,black sunglasses,579.9946532107418,745,Alien Tourism2333
Tour3899,741857025,yellow,pink,wave,purple green pearl,none,backdraft half top,none,none,none,none,none,none,none,579.6237071519465,746,Alien Tourism3899
Tour3702,741831887,candy red,black,wave,black blue pearlescent,space bun,red polo,blue bomber,none,none,none,none,none,none,579.3070797851618,747,Alien Tourism3702
Tour245,741183422,purple,orange,wave,purple blue pearlescent,boomer,purple leather suit,none,none,none,none,none,none,none,579.252707293308,748,Alien Tourism245
Tour1635,741453944,blood orange,red,wave,yellow red pearlescent,curly,red polo,red,none,none,none,none,none,none,578.8158594928575,749,Alien Tourism1635
Tour3758,741838063,pink blend,orange,donut,red blue pearlescent,none,ps sleeved halftop,yellow,none,none,none,none,purple camo sun hat,none,578.7891020725641,750,Alien Tourism3758
Tour2265,741610266,green,orange spiral,wave,wigwag,none,none,none,red pearl hoodie,none,none,none,none,none,578.7713041720381,751,Alien Tourism2265
Tour3282,741774663,candy red,pink,wave,green aqueous,none,metallic strapless,midnight blue,none,at snake chain,none,none,none,none,578.5675831484062,752,Alien Tourism3282
Tour1288,741419791,pink blend,red,wave,blue base,none,rainbow shirt,orange safety vest,none,large gold chain,green bandana,purple at,none,none,578.3278604357628,753,Alien Tourism1288
Tour688,741273530,dark gray,red,wave,onyx,none,none,none,red bball jersey,none,none,none,none,none,577.6320626915029,754,Alien Tourism688
Tour1031,741335175,purple,purple silver spiral,coffee,tree frog,none,none,none,aqua robe,none,none,none,aqua bandana,none,577.4305981970374,755,Alien Tourism1031
Tour659,741268650,green,silver green spiral,wave,hornet,afro,none,none,aqua robe,large gold chain,none,none,none,none,577.2386219024711,756,Alien Tourism659
Tour1959,741519357,light gray,yellow,wave,orange gloss,none,none,yellow,none,none,none,none,liquid mint sun hat,green monocle,577.0361465311403,757,Alien Tourism1959
Tour2471,741642330,turquoise,white,wave,black galaxy,einstein,none,blue bomber,none,none,none,none,none,none,576.9730155105865,758,Alien Tourism2471
Tour1643,741454585,seagreen,pink,wave,orange gloss,none,purple camo strapless,none,none,none,none,none,gold horns,none,576.8564061473706,759,Alien Tourism1643
Tour1149,741402067,green spiral,red,stun gun,camo,pullback,none,black puffer vest,none,none,none,none,none,none,576.7897707321181,760,Alien Tourism1149
Tour2469,741642092,emerald,yellow glow,wave,yellow gloss,none,yellow high top,camo,none,none,surgical mask,turquoise tourist,none,none,576.3306710419869,761,Alien Tourism2469
Tour3482,741800130,turquoise,silver green spiral,coffee,blue glow,none,black dress,copper puffer vest,none,none,none,none,blue tando,blue monocle,576.1138486104533,762,Alien Tourism3482
Tour1640,741454335,lightspeed,none,stun gun,gecko,none,none,black puffer vest,none,none,white bandana,none,none,white sunglasses,576.0273886407903,763,Alien Tourism1640
Tour2621,741672556,purple,green cat,burger,purple blue pearlescent,king,none,red,none,none,none,none,none,none,576.0031158500976,764,Alien Tourism2621
Tour880,741307170,orange spiral,blue cat,wave,purple gloss,none,none,none,pearlescent hoodie,none,none,none,red band,pink monocle,575.796017598302,765,Alien Tourism880
Tour1809,741472760,aqua nebulae,green iris,cash money,pink metallic,mohawk,none,red pearl,none,none,none,none,none,none,575.424010776897,766,Alien Tourism1809
Tour3607,741817336,blood orange,none,coffee,lava,none,purple dress,none,none,none,none,none,orange at hat,pink lens sunglasses,574.2514773419049,767,Alien Tourism3607
Tour2256,741609290,lime,green,wave,yellow metallic,none,none,none,red bball jersey,none,none,none,swirl back hat,none,574.186083912255,768,Alien Tourism2256
Tour2238,741607567,red,red spiral,wave,blue purple pearlescent,bob,none,none,yellow hoodie,at snake chain,none,none,none,none,573.8607104361714,769,Alien Tourism2238
Tour558,741243537,light gray,green iris,ice cream,green base,dreadlock biebs,none,red,none,none,none,none,none,none,573.271168576011,770,Alien Tourism558
Tour1058,741340478,candy red,pink,wave,purple blue pearl,none,purple leather suit,red,none,none,none,none,swirl back hat,orange monocle,573.0372429070216,771,Alien Tourism1058
Tour135,741108279,lollipop,none,wave,yellow aqueous,none,none,pink safety vest,none,none,none,blue probe,none,pink lens sunglasses,572.9463503647562,772,Alien Tourism135
Tour3851,741849877,pink aurora,orange iris,wave,red metallic,none,none,rainbow zip puffer,none,none,none,none,yellow hard hat,none,572.7572073634163,773,Alien Tourism3851
Tour3186,741759242,lavendar,green,ice cream,blue metallic,combover,black dress,none,none,none,none,none,none,none,572.6673791157489,774,Alien Tourism3186
Tour1840,741476345,purple nebulae,green,wave,yellow gloss,pullback,none,none,red bball jersey,none,none,none,none,none,572.3048151274353,775,Alien Tourism1840
Tour31,741085918,dark gray,none,wave,gecko,pullback,red polo,red,none,none,none,none,none,pink lens sunglasses,572.266367702049,776,Alien Tourism31
Tour1955,741515012,black hole,silver green spiral,wave,blue raspberry,afro,sunrise shirt,none,none,none,none,none,none,none,572.140752224145,777,Alien Tourism1955
Tour2780,741694894,aurora,none,cash money,pink metallic,mohawk,purple strapless,none,none,none,none,none,none,gold visor,572.1307824059998,778,Alien Tourism2780
Tour900,741310316,charcoal,white,wave,green metallic,none,seafoam shirt,none,none,algo medallion chain,none,none,camo bandana,none,571.0325801252776,779,Alien Tourism900
Tour873,741305995,purple,yellow,wave,purple green pearl,none,purple strapless,blue bomber,none,none,none,none,gold tando,none,571.024324138282,780,Alien Tourism873
Tour1914,741484105,blood orange,red spiral,wave,purple teal pearlescent,curly,none,blue safety vest,none,none,none,none,none,none,570.4922294120873,781,Alien Tourism1914
Tour3481,741800029,orange,none,donut,caribbean,bob,none,camo bomber,none,none,none,none,none,orange lens sunglasses,570.4325427553736,782,Alien Tourism3481
Tour625,741261135,orange,green,wave,blue base,none,gold shirt,red pearl,none,algo snake chain,none,none,none,none,569.98671131937,783,Alien Tourism625
Tour1376,741427796,candy red,blue spiral,ice cream,blue metallic,combover,blue strapless,none,none,none,none,none,none,none,569.3531738652089,784,Alien Tourism1376
Tour3013,741730167,lavendar,pink,wave,purple aqueous,none,pink longsleeve top,pink safety vest,none,none,none,none,orange check band,none,569.1965467915783,785,Alien Tourism3013
Tour3606,741817168,orange,pink,burger,confetti,none,none,none,camo hoodie,none,none,none,purple camo band,none,569.1454458027905,786,Alien Tourism3606
Tour1397,741429482,yellow,pink,wave,yellow gloss,none,none,camo,none,none,none,none,colorful sun hat,none,568.9602194625265,787,Alien Tourism1397
Tour904,741310943,light gray,none,wave,red metallic,none,blue camo dress,blue life vest,none,none,none,none,none,pink lens sunglasses,568.8743803508119,788,Alien Tourism904
Tour2102,741587493,lime,fuschia spiral,stun gun,camo,pullback,red polo,none,none,none,none,none,none,none,568.8292446851524,789,Alien Tourism2102
Tour355,741206028,coconut,lime spiral,wave,purple base,none,none,red,none,at snake chain,none,none,black horns,none,568.61709820654,790,Alien Tourism355
Tour3887,741855467,lavendar,red spiral,wave,blue glow,shaggy,rainbow shirt,none,none,at snake chain,none,none,none,none,568.5677185061036,791,Alien Tourism3887
Tour868,741305290,royal blue,blue spiral,coffee,fire,mullet,blue strapless,red,none,none,none,none,none,none,567.8944331428096,792,Alien Tourism868
Tour125,741106543,candy red,none,wave,purple base,none,blue polo,blue zip puffer,none,none,none,blue at,none,pink sunglasses,567.7274688357527,793,Alien Tourism125
Tour865,741304838,orange,none,wave,black blue pearlescent,space bun,none,yellow,none,none,none,none,none,green lens sunglasses,567.4368994895976,794,Alien Tourism865
Tour270,741188767,black hole,none,wave,purple gloss,none,candy corn,none,none,none,none,none,none,blue pit glasses,566.9808823512847,795,Alien Tourism270
Tour722,741279616,green,green,wave,purple aqueous,none,purple ore shirt,orange safety vest,none,none,none,none,liquid mint sun hat,none,566.467014892763,796,Alien Tourism722
Tour2818,741700559,red spiral,red,donut,gold,cruella,red polo,none,none,none,none,none,none,none,566.4359936095634,797,Alien Tourism2818
Tour1989,741547466,blue blend,purple silver spiral,wave,blue aqueous,none,backdraft shirt,red pearl,none,none,none,none,swirl back hat,none,566.1538454177213,798,Alien Tourism1989
Tour3622,741820200,candy red,blue glow,wave,onyx,none,blue polo,rainbow zip puffer,none,none,none,none,aqua bandana,none,565.6613822374973,799,Alien Tourism3622
Tour2304,741615228,emerald,green cat,wave,blue red pearl,none,blue hex high top,none,none,at snake chain,surgical mask,green tourist,none,none,565.6122642051768,800,Alien Tourism2304
Tour2724,741686930,blue spiral,silver spiral,wave,green metallic,none,none,red,none,algo medallion chain,green bandana,red tourist,none,none,565.5460337961974,801,Alien Tourism2724
Tour368,741208518,red,none,wave,yellow gloss,none,purple camo strapless,none,none,none,none,none,camo safari hat,pink lens sunglasses,565.4468023162326,802,Alien Tourism368
Tour2985,741726910,lavendar,pink,rock on,arctic plum,afro,none,purple  bomber,none,none,none,none,none,none,564.8817260332532,803,Alien Tourism2985
Tour2103,741587628,turquoise,none,wave,blue glow,pullback,none,none,blue hawaiian,none,none,none,none,rainbow pit glasses,564.7014299006404,804,Alien Tourism2103
Tour404,741214523,tidepool,green glow,wave,green gloss,none,metallic high top,blue leather,none,at medallion chain,none,none,red pearl tando,none,564.650472852388,805,Alien Tourism404
Tour194,741169686,dark gray,light blue spiral,wave,purple teal pearlescent,curly,none,red pearl puffer,none,none,none,none,none,none,564.6263125641555,806,Alien Tourism194
Tour1119,741350115,dark gray,none,wave,yellow red pearlescent,curly,none,blue bomber,none,none,none,none,none,pink sunglasses,564.5521985815353,807,Alien Tourism1119
Tour605,741253715,acid blur,purple silver spiral,wave,blue raspberry,afro,sunrise shirt,blue bomber,none,none,none,none,none,none,564.2140935256139,808,Alien Tourism605
